,Area,count,mean,std,min,25%,50%,75%,max
165,Morocco,708.0,0.807774011299435,1.3284004333156132,-2.96,-0.14925,0.803,1.725,4.628
166,Mozambique,708.0,0.3296751412429379,0.6336335142536349,-1.803,-0.1055,0.3465,0.7695000000000001,2.331
167,Myanmar,708.0,0.3856638418079097,0.6256690020557608,-1.604,-0.0445,0.333,0.8005,2.707
168,Namibia,708.0,0.45858615819209037,0.9214440988802166,-1.99,-0.1975,0.38,1.02275,3.714
169,Nauru,228.0,-0.11503070175438597,0.4288216452775398,-1.277,-0.377,-0.087,0.1375,1.095
170,Nepal,708.0,0.2030536723163842,0.843992336217151,-2.264,-0.30174999999999996,0.1885,0.72125,4.122
171,Net Food Importing Developing Countries,708.0,0.48058333333333325,0.5301601984724228,-0.828,0.0885,0.451,0.89325,2.037
172,Netherlands,708.0,0.6729293785310734,1.7532219459072853,-7.121,-0.36575,0.6345000000000001,1.7842500000000001,6.179
173,Netherlands Antilles (former),708.0,0.3715536723163842,0.5520088259554794,-1.275,-0.021750000000000002,0.355,0.74675,2.533
174,New Caledonia,708.0,0.3185127118644068,0.6790766620878327,-1.292,-0.1455,0.2745,0.724,3.119
175,New Zealand,708.0,0.2690141242937853,0.8303934752296895,-2.297,-0.2915,0.285,0.8282499999999999,3.583
176,Nicaragua,708.0,0.4359830508474576,0.58656796217713,-1.95,0.050499999999999996,0.435,0.8445,2.506
177,Niger,708.0,0.5428008474576271,1.1287955735407134,-3.652,-0.074,0.637,1.253,4.391
178,Nigeria,708.0,0.5511059322033898,0.8250375200889808,-2.848,0.012750000000000001,0.565,1.1107500000000001,3.292
179,Niue,338.0,0.16065384615384615,0.6267384285836488,-1.225,-0.323,0.132,0.643,2.117
180,Non-Annex I countries,708.0,0.4684689265536723,0.5162212834243007,-0.848,0.07425,0.4005,0.8745,2.012
181,Norfolk Island,655.0,0.23234961832061068,0.6295568473643264,-1.36,-0.187,0.195,0.6465000000000001,2.278
182,North Macedonia,336.0,0.9639047619047622,1.5436247929307143,-5.493,0.18,1.0765,1.9057499999999998,5.599
183,Northern Africa,708.0,0.548572033898305,0.869891675226513,-2.245,-0.07675,0.4675,1.17725,3.443
184,Northern America,708.0,0.5248305084745761,1.131714545641324,-4.867,-0.1965,0.46399999999999997,1.1715,4.459
185,Northern Europe,708.0,0.6017358757062147,1.6988588938379245,-5.091,-0.36675,0.592,1.616,6.67
186,Norway,708.0,0.5989463276836158,1.8461983033609985,-5.823,-0.5435000000000001,0.588,1.69875,7.279
187,OECD,708.0,0.49681355932203386,0.7536212674119929,-2.679,-0.030000000000000002,0.4555,0.9755,2.72
188,Oceania,708.0,0.42603389830508476,0.7142316562719626,-1.343,-0.07125000000000001,0.40700000000000003,0.886,2.912
189,Oman,705.0,0.2678283687943262,0.8317598694599713,-4.13,-0.227,0.315,0.808,3.194
190,Pacific Islands Trust Territory,356.0,0.030488764044943818,0.2377066066799852,-0.771,-0.10675,0.051,0.181,0.764
191,Pakistan,708.0,0.19944067796610165,1.0203453366846067,-4.508,-0.4245,0.1765,0.787,4.297
192,Palau,281.0,0.5715800711743773,0.37487164683585167,-0.305,0.313,0.558,0.791,1.541
193,Palestine,708.0,0.2612005649717514,1.1833337652101905,-3.462,-0.504,0.2865,1.024,3.523
194,Panama,661.0,0.37847655068078667,0.5602722294029978,-0.838,-0.04,0.341,0.76,1.939
195,Papua New Guinea,708.0,0.3215014124293785,0.48418888706502416,-1.264,0.0225,0.271,0.58475,1.967
196,Paraguay,708.0,0.41702966101694916,1.2330863902399847,-5.037,-0.36524999999999996,0.361,1.15025,4.184
197,Peru,708.0,0.4793192090395481,0.5814412418838614,-1.093,0.06575,0.455,0.86875,2.269
198,Philippines,708.0,0.41618502824858755,0.4877281466816194,-1.153,0.09275,0.391,0.71975,1.855
199,Pitcairn Islands,566.0,-0.018991166077738514,0.6965962034911501,-2.579,-0.4785,-0.011,0.47375,2.093
200,Poland,708.0,0.6608686440677966,2.0548885861605966,-7.424,-0.52125,0.67,1.92575,7.233
201,Polynesia,708.0,0.3895437853107345,0.4571880594471693,-1.01,0.05275,0.374,0.71275,1.946
202,Portugal,708.0,0.6147175141242939,1.3249151831639083,-3.332,-0.24675,0.598,1.50325,4.721
203,Puerto Rico,708.0,0.31584322033898304,0.5074235745542152,-1.314,-0.03725,0.3055,0.67025,1.859
204,Qatar,708.0,0.613590395480226,1.1832568778836514,-3.595,-0.15425,0.656,1.4304999999999999,3.734
205,Republic of Korea,708.0,0.39484887005649727,1.2019996298184068,-4.087,-0.354,0.417,1.18525,4.906
206,Republic of Moldova,336.0,1.064511904761905,2.0386646653553155,-6.639,-0.13075,1.0274999999999999,2.36775,7.037
207,Romania,708.0,0.49537853107344626,1.8261189662394692,-6.913,-0.674,0.506,1.6557499999999998,6.631
